iter	Passed	Remaining
0	147	147057
1	148	74146
2	152	50589
3	159	39795
4	162	32295
5	167	27675
6	168	23864
7	169	21066
8	171	18937
9	174	17247
10	176	15844
11	178	14695
12	179	13664
13	181	12778
14	184	12100
15	185	11423
16	187	10823
17	189	10348
18	191	9889
19	192	9453
20	194	9070
21	196	8720
22	197	8395
23	198	8083
24	199	7798
25	202	7572
26	203	7328
27	204	7099
28	205	6888
29	207	6716
30	209	6542
31	210	6366
32	211	6202
33	213	6060
34	216	5961
35	217	5827
36	218	5695
37	220	5575
38	221	5460
39	222	5344
40	223	5236
41	225	5141
42	226	5035
43	227	4937
44	228	4839
45	228	4746
46	229	4656
47	230	4570
48	232	4506
49	233	4428
50	234	4354
51	234	4282
52	235	4209
53	236	4140
54	237	4081
55	238	4023
56	239	3961
57	240	3901
58	241	3846
59	241	3790
60	242	3736
61	243	3683
62	245	3646
63	246	3601
64	247	3555
65	247	3509
66	248	3463
67	249	3420
68	250	3381
69	251	3340
70	252	3300
71	253	3265
72	254	3227
73	254	3190
74	255	3153
75	257	3133
76	259	3107
77	260	3081
78	261	3050
79	262	3020
80	264	2998
81	265	2970
82	265	2936
83	266	2906
84	267	2877
85	268	2850
86	269	2829
87	270	2805
88	271	2780
89	272	2756
90	273	2731
91	274	2708
92	275	2688
93	276	2666
94	277	2644
95	278	2622
96	279	2599
97	280	2578
98	281	2559
99	282	2541
100	283	2523
101	284	2502
102	285	2482
103	285	2463
104	286	2445
105	288	2429
106	288	2411
107	289	2394
108	290	2374
109	291	2357
110	292	2339
111	292	2321
112	293	2307
113	294	2292
114	295	2276
115	296	2261
116	297	2245
117	298	2230
118	299	2216
119	300	2204
120	301	2193
121	302	2179
122	303	2165
123	304	2151
124	305	2137
125	306	2123
126	307	2110
127	308	2099
128	309	2087
129	310	2074
130	310	2061
131	311	2049
132	312	2038
133	313	2028
134	314	2017
135	315	2006
136	316	1994
137	317	1983
138	318	1972
139	319	1961
140	320	1951
141	321	1940
142	322	1930
143	322	1919
144	323	1909
145	324	1899
146	325	1890
147	326	1881
148	327	1871
149	328	1861
150	329	1851
151	330	1841
152	330	1831
153	331	1822
154	332	1815
155	333	1806
156	334	1796
157	335	1787
158	336	1778
159	336	1768
160	337	1758
161	338	1752
162	339	1745
163	340	1737
164	341	1729
165	342	1721
166	343	1712
167	344	1706
168	345	1698
169	346	1691
170	347	1683
171	348	1675
172	348	1667
173	349	1659
174	350	1652
175	351	1645
176	352	1638
177	353	1631
178	354	1623
179	354	1616
180	355	1609
181	356	1602
182	357	1596
183	358	1589
184	359	1582
185	360	1575
186	360	1569
187	361	1562
188	362	1556
189	363	1550
190	364	1544
191	365	1539
192	366	1532
193	367	1526
194	368	1520
195	369	1514
196	370	1509
197	371	1503
198	372	1498
199	372	1491
200	373	1485
201	374	1479
202	375	1474
203	376	1469
204	377	1463
205	378	1458
206	379	1452
207	379	1446
208	380	1440
209	381	1435
210	382	1430
211	383	1425
212	384	1420
213	385	1414
214	385	1409
215	386	1403
216	387	1398
217	388	1393
218	389	1388
219	390	1383
220	391	1378
221	391	1373
222	392	1368
223	393	1363
224	394	1358
225	395	1354
226	396	1349
227	397	1344
228	397	1339
229	398	1334
230	399	1329
231	400	1325
232	401	1321
233	402	1317
234	403	1312
235	403	1307
236	404	1302
237	405	1298
238	406	1293
239	407	1290
240	408	1286
241	409	1282
242	410	1278
243	411	1273
244	411	1269
245	412	1264
246	413	1261
247	414	1257
248	415	1253
249	416	1250
250	417	1246
251	418	1242
252	419	1238
253	420	1234
254	421	1231
255	422	1227
256	422	1222
257	423	1218
258	424	1214
259	425	1210
260	426	1207
261	427	1204
262	428	1200
263	429	1197
264	430	1194
265	431	1191
266	432	1187
267	433	1184
268	434	1181
269	435	1177
270	436	1173
271	437	1169
272	437	1166
273	439	1163
274	439	1159
275	440	1156
276	441	1152
277	442	1149
278	443	1145
279	444	1141
280	445	1139
281	446	1135
282	447	1132
283	447	1129
284	448	1125
285	449	1122
286	450	1118
287	451	1115
288	452	1112
289	452	1109
290	453	1105
291	454	1102
292	455	1099
293	456	1095
294	457	1092
295	458	1089
296	459	1086
297	459	1083
298	460	1080
299	461	1077
300	462	1074
301	463	1071
302	464	1068
303	465	1065
304	466	1062
305	466	1059
306	467	1055
307	468	1052
308	469	1049
309	470	1047
310	471	1044
311	472	1042
312	473	1039
313	474	1036
314	475	1033
315	476	1030
316	477	1028
317	479	1027
318	479	1024
319	480	1021
320	481	1018
321	482	1016
322	484	1014
323	485	1012
324	486	1009
325	487	1007
326	487	1004
327	488	1001
328	489	999
329	490	996
330	491	993
331	492	990
332	493	987
333	493	984
334	494	982
335	495	979
336	496	976
337	497	974
338	498	971
339	499	968
340	499	965
341	500	963
342	501	961
343	502	958
344	503	956
345	504	954
346	505	951
347	506	949
348	507	947
349	508	944
350	509	942
351	510	940
352	511	937
353	512	935
354	513	933
355	514	931
356	515	928
357	516	926
358	517	924
359	518	922
360	520	920
361	521	918
362	522	916
363	522	913
364	523	911
365	524	908
366	525	906
367	526	904
368	527	902
369	528	900
370	529	897
371	530	894
372	530	892
373	531	890
374	532	888
375	533	885
376	534	883
377	535	881
378	536	878
379	536	875
380	537	873
381	538	870
382	539	869
383	540	867
384	541	865
385	542	863
386	543	860
387	544	858
388	545	856
389	546	854
390	547	852
391	548	850
392	549	848
393	550	846
394	550	843
395	551	841
396	552	839
397	553	837
398	554	835
399	555	833
400	556	830
401	557	828
402	557	826
403	558	824
404	559	822
405	560	820
406	561	818
407	562	816
408	563	813
409	564	811
410	565	810
411	566	808
412	567	806
413	568	804
414	569	802
415	570	800
416	571	799
417	572	797
418	573	795
419	574	793
420	575	791
421	576	789
422	577	787
423	578	785
424	579	783
425	580	781
426	581	779
427	581	777
428	582	775
429	584	774
430	585	772
431	586	770
432	587	768
433	587	766
434	588	764
435	590	763
436	591	761
437	591	759
438	592	757
439	593	755
440	594	753
441	595	751
442	596	750
443	597	748
444	598	746
445	599	744
446	600	742
447	601	740
448	602	739
449	603	737
450	604	735
451	605	733
452	606	731
453	606	729
454	607	728
455	609	726
456	609	724
457	610	723
458	611	721
459	612	719
460	613	717
461	614	715
462	615	714
463	616	712
464	617	710
465	618	708
466	619	706
467	620	705
468	621	703
469	622	702
470	623	700
471	624	698
472	625	696
473	626	694
474	627	693
475	628	691
476	629	690
477	630	688
478	630	686
479	631	684
480	632	682
481	633	681
482	635	679
483	635	677
484	636	676
485	637	674
486	638	672
487	639	670
488	640	669
489	641	667
490	642	666
491	643	664
492	644	662
493	645	661
494	646	659
495	647	658
496	648	656
497	649	654
498	650	653
499	651	651
500	652	650
501	654	648
502	655	647
503	656	645
504	656	643
505	657	642
506	659	640
507	660	639
508	660	637
509	661	635
510	662	633
511	663	632
512	664	630
513	665	628
514	666	627
515	666	625
516	667	623
517	668	621
518	669	620
519	669	618
520	670	616
521	671	615
522	672	613
523	673	611
524	674	610
525	675	608
526	675	606
527	676	605
528	677	603
529	678	601
530	679	600
531	680	598
532	680	596
533	681	594
534	682	593
535	683	591
536	684	590
537	685	588
538	686	586
539	686	585
540	687	583
541	688	581
542	689	580
543	690	578
544	691	577
545	692	575
546	693	574
547	693	572
548	694	570
549	695	569
550	696	567
551	697	566
552	698	564
553	699	563
554	700	561
555	701	559
556	702	558
557	703	556
558	703	555
559	704	553
560	705	552
561	706	550
562	707	548
563	708	547
564	709	545
565	710	544
566	710	542
567	711	541
568	712	539
569	713	538
570	714	536
571	715	535
572	716	533
573	716	532
574	717	530
575	718	528
576	719	527
577	720	525
578	721	524
579	721	522
580	722	521
581	723	519
582	724	518
583	725	516
584	725	514
585	726	513
586	727	511
587	728	510
588	729	508
589	730	507
590	730	505
591	731	504
592	732	502
593	733	501
594	734	499
595	734	498
596	735	496
597	736	495
598	737	493
599	737	491
600	738	490
601	739	488
602	740	487
603	741	486
604	742	484
605	742	482
606	743	481
607	744	479
608	745	478
609	746	477
610	747	475
611	748	474
612	748	472
613	749	471
614	750	469
615	751	468
616	752	466
617	753	465
618	753	464
619	754	462
620	755	461
621	756	459
622	757	458
623	757	456
624	758	455
625	759	453
626	760	452
627	761	451
628	762	449
629	762	448
630	763	446
631	764	445
632	765	443
633	766	442
634	767	441
635	768	439
636	768	438
637	769	436
638	770	435
639	771	433
640	772	432
641	773	431
642	773	429
643	774	428
644	775	426
645	776	425
646	777	423
647	777	422
648	778	421
649	779	419
650	780	418
651	781	417
652	782	415
653	782	414
654	783	412
655	784	411
656	785	410
657	786	408
658	787	407
659	788	406
660	789	404
661	790	403
662	791	402
663	792	400
664	793	399
665	793	398
666	794	396
667	795	395
668	796	394
669	797	392
670	798	391
671	798	389
672	799	388
673	800	387
674	801	385
675	802	384
676	803	383
677	804	381
678	805	380
679	805	379
680	806	377
681	807	376
682	808	375
683	809	373
684	810	372
685	811	371
686	811	369
687	812	368
688	813	367
689	814	365
690	814	364
691	815	363
692	816	361
693	817	360
694	818	359
695	819	357
696	820	356
697	820	355
698	821	353
699	822	352
700	823	351
701	824	349
702	825	348
703	825	347
704	826	345
705	827	344
706	828	343
707	829	342
708	830	340
709	831	339
710	831	338
711	832	336
712	833	335
713	834	334
714	835	332
715	835	331
716	836	330
717	837	329
718	838	327
719	839	326
720	839	325
721	840	323
722	841	322
723	842	321
724	843	319
725	844	318
726	845	317
727	845	316
728	846	314
729	847	313
730	848	312
731	849	311
732	850	309
733	851	308
734	852	307
735	852	305
736	853	304
737	854	303
738	855	302
739	856	300
740	857	299
741	857	298
742	858	297
743	859	295
744	860	294
745	861	293
746	862	292
747	863	290
748	863	289
749	864	288
750	865	286
751	866	285
752	867	284
753	868	283
754	869	282
755	869	280
756	870	279
757	871	278
758	872	277
759	874	276
760	875	274
761	876	273
762	876	272
763	877	271
764	878	269
765	879	268
766	880	267
767	881	266
768	882	265
769	883	263
770	884	262
771	885	261
772	886	260
773	887	259
774	887	257
775	888	256
776	889	255
777	890	254
778	891	253
779	893	251
780	894	250
781	894	249
782	895	248
783	896	247
784	897	245
785	898	244
786	901	243
787	901	242
788	902	241
789	903	240
790	904	239
791	905	237
792	906	236
793	907	235
794	908	234
795	909	232
796	909	231
797	910	230
798	911	229
799	912	228
800	913	226
801	914	225
802	915	224
803	916	223
804	917	222
805	918	221
806	919	219
807	920	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	930	207
818	931	205
819	932	204
820	933	203
821	934	202
822	935	201
823	936	199
824	937	198
825	938	197
826	939	196
827	939	195
828	940	194
829	941	192
830	942	191
831	943	190
832	944	189
833	945	188
834	946	187
835	947	185
836	948	184
837	949	183
838	950	182
839	951	181
840	951	179
841	953	178
842	953	177
843	954	176
844	955	175
845	956	174
846	957	172
847	958	171
848	959	170
849	960	169
850	961	168
851	962	167
852	963	166
853	964	164
854	965	163
855	966	162
856	967	161
857	968	160
858	969	159
859	969	157
860	970	156
861	971	155
862	972	154
863	973	153
864	974	152
865	975	150
866	976	149
867	977	148
868	978	147
869	979	146
870	980	145
871	981	144
872	982	142
873	983	141
874	984	140
875	985	139
876	986	138
877	988	137
878	989	136
879	990	135
880	991	133
881	992	132
882	993	131
883	994	130
884	995	129
885	997	128
886	998	127
887	1000	126
888	1002	125
889	1003	124
890	1006	123
891	1008	122
892	1009	120
893	1010	119
894	1012	118
895	1014	117
896	1015	116
897	1016	115
898	1018	114
899	1019	113
900	1020	112
